feature,1,2,3,4,5,6,7,8,9,10
FORALL_LIT_PER_CLAUSE,0.005258307840583079,0.004978200074739288,0.0061786014576520635,0.006352749209743561,0.005388507658151309,0.0065760201837866735,0.006161524379664913,0.0066023124631428105,0.005607398160055485,0.006262062334984203
EXIST_VARS_PER_SET,0.004707980063379882,0.004539069455957375,0.004393966550422647,0.00527752192752264,0.004510606817307956,0.0048143717108100345,0.004736195476719622,0.0043917617425083405,0.004963350108354802,0.0052213369409418306
FORALL_POS_LITS_PER_CLAUSE,0.007531908966516454,0.006304398492835579,0.007067036675496144,0.007734590558042001,0.0067534400520496635,0.007276305955832262,0.008467951383989016,0.006497523643356677,0.007617996095758874,0.007959511416246552
FORALL_NEG_LITS_PER_CLAUSE,0.007321903039249318,0.006354512155408791,0.006558899158326664,0.0069920642970101275,0.0068898116040938965,0.007476643561126721,0.006182078178804002,0.005846503703185937,0.005131076779267081,0.007001034003587833
OCCS_POS_NO_PER_VAR,0.008368975044585164,0.008389342945666992,0.010340958024996842,0.00819486340759943,0.008693395071567413,0.009182596060343372,0.008667693255628165,0.010459628359420946,0.007641827217402859,0.009640868530471167
OCCS_FORALL_NO_PER_VAR,0.0047211008217856905,0.004621612826224459,0.003992781894856859,0.0038711228820417143,0.0034252827000882664,0.004341774943167927,0.0038778032860405406,0.0031945527896818948,0.003693337406210775,0.003576654435766466
OCCS_FORALL_POS_NO_PER_VAR,0.0055097213591863954,0.004518875012322914,0.0046359115233043716,0.004884085774815656,0.005565982534262581,0.005225943958233701,0.005173147468355788,0.004756221656863857,0.004772798066376151,0.004363488549921619
W_OCCS_POS_NO_PER_VAR,0.006909250667029671,0.00655671417946021,0.005655115128304053,0.005460405987228619,0.0054483867681270745,0.00681269269009728,0.006510074319441128,0.0054751758194300235,0.006040555161817635,0.005959348899805489
W_OCCS_FORALL_NO_PER_VAR,0.011315301541358541,0.012601809036707042,0.007412199361648829,0.009688911589161908,0.00998619535756621,0.00997216307980424,0.009387735552028202,0.009877285808945457,0.009792958514506496,0.008906653674955013
W_OCCS_FORALL_POS_NO_PER_VAR,0.01751487113929592,0.016813455618256323,0.01568349161962418,0.01795764724766251,0.016428528163586354,0.015928567276527014,0.014449567280775134,0.014477841742784379,0.015781566919951612,0.012012482033115692
W_PRODUCTS,0.0066800935180074215,0.006739706609890494,0.0052768040373674,0.0059985491383952715,0.0063486938676793475,0.006618153298028947,0.00601051186149377,0.00667833653488872,0.006494101067793885,0.006851635141486467
LITN_LIT,0.00606651022230247,0.00545247388943957,0.006218907978318276,0.006462273205054933,0.006139249281073679,0.006603767406816122,0.007570694260996895,0.007086524392280997,0.006645826543431855,0.005680657254904104
