feature,1,2,3,4,5,6,7,8,9,10
POSNEG_RATIO_CLAUSE_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSNEG_RATIO_CLAUSE_entropy,0.0012464014288887043,0.0014542851133790824,0.0008962852959532047,0.0010428261247562285,0.0010883229547827024,0.0011022138316812216,0.001250450475181828,0.0009675952819573896,0.0013273859624037337,0.001395362748341095
VCG_CLAUSE_mean,0.00041774030400798924,0.0003315820154515091,0.00043786665200801005,0.00034864725507745563,0.0005169613740668075,0.00039355071475607393,0.00040463453255032764,0.0003866335109482362,0.0003671239698994672,0.0004964183994429631
VCG_CLAUSE_coeff_variation,0.0018103215870835985,0.0020455039167592386,0.0018144389304802036,0.002067848644648978,0.001963174330309136,0.001963568699946266,0.0018090726068122536,0.0017797980344865464,0.0019646458053913427,0.0020018301332497585
VCG_CLAUSE_min,0.0005535711063462767,0.0005892604540586765,0.00042675541945006264,0.0003340761419160056,0.0005757706831138776,0.00045373244647185546,0.0003580188823611746,0.00036390921671796615,0.0004643428760998849,0.00043303280230891047
VCG_CLAUSE_max,0.0006847911249695589,0.0006431170336750178,0.0006666497450641596,0.0006833078900077497,0.0008104504174539391,0.0007768370581065427,0.0006603696840189622,0.0006776206895058514,0.0007981559250944514,0.0007468603047636093
VCG_CLAUSE_entropy,0.0018877883296085582,0.0019039601675003787,0.0015633579530259054,0.0017458198316483578,0.0015760632730772996,0.0015502737202634706,0.0016533085232061718,0.0017950867917356035,0.0015658381505513342,0.0017005355438202974
UNARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BINARYp,0.0025521532539953206,0.002394467844757976,0.0022360267665290107,0.0022445866484118917,0.0022924335778207925,0.0022430527796044823,0.002268823751266054,0.002275229217410522,0.00240124302266711,0.0023317918419245797
TRINARYp,0.0006221415917949437,0.0005172229686005805,0.0005915672228229295,0.0005426980694018329,0.0005868002081731594,0.0005461786864957299,0.0005602841225244278,0.0006154370734510477,0.000590908765078528,0.0006077206280346685
VCG_VAR_mean,0.00028362209816573404,0.0005142667031693515,0.00045944618072932963,0.00027416540076439843,0.00033852758286739045,0.0005020097593500521,0.0004522611353083798,0.00040850061659470326,0.0004132258027936261,0.00036569727234725874
VCG_VAR_coeff_variation,0.001922012578407644,0.0019621319635121114,0.0018518876949790196,0.0019431282721706056,0.001939415424695735,0.0018910525290464642,0.002065140540688163,0.0021040476665169375,0.0018481878996524448,0.001785091357164472
VCG_VAR_min,0.00039517014948646213,0.0005481137101701176,0.00044627559422433715,0.00039088285564432856,0.0004404893518329697,0.00042826243881260046,0.000610642686885506,0.0003676695245619154,0.00037794045015368614,0.0003834260920137599
VCG_VAR_max,0.0007341353394986312,0.0007252203046278004,0.0008172110702218245,0.0007081607899631721,0.0006724817130976449,0.0009307408263908587,0.0008833890052477986,0.0007792055301685131,0.0008209923466838794,0.0006511985799550484
VCG_VAR_entropy,0.0008035850960636953,0.0007713340651892617,0.0009112572900476364,0.0007710397366229375,0.0008709489576851072,0.000748430890602972,0.0007014301187076591,0.0007849694815084479,0.0008855180358179049,0.000901973736995911
POSNEG_RATIO_VAR_mean,0.0005873670924992369,0.0006377436905168502,0.0005583218617636832,0.0005044294076055571,0.0005603309654593156,0.0005549643163416102,0.0006099455243490247,0.0006644301030327671,0.0005834482225811593,0.0006502418869224648
POSNEG_RATIO_VAR_stdev,0.0004614624473098966,0.00043774236593431825,0.0004767087536463155,0.0004466554076847548,0.0005552092029174775,0.0005665723691331035,0.0005222943037043696,0.0005721747815739114,0.0005800961229013131,0.0005652593807587097
POSNEG_RATIO_VAR_min,0.0001378832750860108,0.00018175493241101744,0.00018029947118341623,0.00017086599444626088,0.00013768340764737385,0.0001636233474073489,0.0002467927689806944,0.00016818468719509568,0.0001753774362894729,0.00019622683488995613
POSNEG_RATIO_VAR_max,0.0005293030662342469,0.0005019968412869626,0.00048185010031677694,0.00047916679657883577,0.0004884959345819412,0.0005608111690159921,0.0004941802365330318,0.0004638677794572555,0.0004687246256026806,0.0006066340208236505
POSNEG_RATIO_VAR_entropy,0.0010095327184680655,0.0007186848824871665,0.0008270225386902191,0.0007544380744610992,0.0008328116243809715,0.0008002210584907967,0.0008338166314758513,0.000938094268597967,0.0006666088493586467,0.0008956558978017501
HORNY_VAR_mean,0.00037088605146049983,0.0005971944452420152,0.00042632512488533517,0.0003154874392376493,0.00042882011328812693,0.00041778944696445054,0.00047032894758521516,0.00043721142353390593,0.0005350479138656411,0.0004113171559005605
HORNY_VAR_coeff_variation,0.0021356198740571466,0.002324093395267173,0.0024960920562076675,0.002235787978290371,0.0021805441280488497,0.0021224890348727635,0.0023811044861803874,0.0020725094724497865,0.0022494768718563985,0.002217179325080825
HORNY_VAR_min,0.0002227226068734076,0.00028438998537035564,0.00029984542922540313,0.00024270006243341108,0.00021406938298037165,0.0003172845055799271,0.0003065436238255141,0.00025763112905443654,0.0002925106494271774,0.00025491352037220914
HORNY_VAR_max,0.0008327313932180698,0.0007154382521032928,0.0007303693234012616,0.0007892629857025311,0.0008387636999499736,0.0007385028766707829,0.0006629613724561577,0.0006954505920954482,0.0007854920432408354,0.0007209877155003965
HORNY_VAR_entropy,0.0007062660596631181,0.0007739763248108018,0.0007043919580952668,0.0007344078660445939,0.0006558588720891538,0.0007021416035105168,0.0007744932489223618,0.0006924319315021667,0.000731461781461836,0.0006988251554444651
horn_clauses_fraction,0.0007505479726216186,0.0005878166152428167,0.000640305257061081,0.0006248663968882073,0.000570061608372523,0.0006220889561923271,0.0006121747448646178,0.0005634948252554838,0.0005695210545765105,0.0006139006499217979
VG_mean,0.0009044878832074018,0.0010994382751125262,0.0010446115841323464,0.0010344541164811955,0.0009501727955921959,0.0010271270429768734,0.0012979258587043731,0.0011506893037891745,0.001161873831842902,0.0008643603045491065
VG_coeff_variation,0.0030190015694166457,0.002540791719427376,0.0025099965419152505,0.002554614716661602,0.00264713472063042,0.0025742435596250762,0.0027935111079827606,0.002478487986756681,0.002835064336744742,0.002487157147305438
